"id","Presentation"
15772,"http://submit2012.agilealliance.org/files/session_pdfs/SOAgileTeamsDerby2012.pdf"
15779,"http://submit2012.agilealliance.org/files/session_pdfs/!Sim_HighGravityDistributed.pdf"
15782,"NO"
15783,"http://submit2012.agilealliance.org/files/session_pdfs/StoryMapsTestPlansAndOtherCrossCutting.pdf"
15787,"http://submit2012.agilealliance.org/files/session_pdfs/TestersRole_Agile2012.pdf"
15818,"http://submit2012.agilealliance.org/files/session_pdfs/extreme_interviewing_slides.pdf"
15839,"http://submit2012.agilealliance.org/files/session_pdfs/Overcoming%20Traditional%20Project%20Release%20Reporting%20with%20an%20Agile%20Approach%20Focused%20on%20Change%20v04.pdf"
16674,"NO"
16676,"NO"
16677,"NO"
16678,"http://submit2012.agilealliance.org/files/session_pdfs/CoachingIsMoreThanTelling.pdf"
16679,"NO"
16680,"NO"
16681,"NO"
16682,"NO"
16683,"http://submit2012.agilealliance.org/files/session_pdfs/Beyond%20the%20Agile%20Mindset%20-%20Agile%202012.pdf"
16684,"NO"
16686,"NO"
16687,"NO"
16688,"NO"
16689,"http://submit2012.agilealliance.org/files/session_pdfs/Solo%20Iterative%20Process.pdf"
16690,"NO"
16691,"http://submit2012.agilealliance.org/files/session_pdfs/SoundararajanArthurBalci_Agile2012_Handout_v1_0.pdf"
16692,"NO"
16693,"NO"
16694,"NO"
16695,"NO"
16696,"NO"
16697,
16699,"NO"
